mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,sampleRate,bitDepth,fileLength,numChannels,favorite,mediaComments
MC-002_20240229_110000.WAV,MC-002,activityDetection,2024-02-29T11:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_110000.WAV,False,MC-002_20240229_110000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_113000.WAV,MC-002,activityDetection,2024-02-29T11:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_113000.WAV,False,MC-002_20240229_113000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_120000.WAV,MC-002,activityDetection,2024-02-29T12:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_120000.WAV,False,MC-002_20240229_120000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_123000.WAV,MC-002,activityDetection,2024-02-29T12:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_123000.WAV,False,MC-002_20240229_123000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_130000.WAV,MC-002,activityDetection,2024-02-29T13:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_130000.WAV,False,MC-002_20240229_130000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_133000.WAV,MC-002,activityDetection,2024-02-29T13:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_133000.WAV,False,MC-002_20240229_133000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_140000.WAV,MC-002,activityDetection,2024-02-29T14:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_140000.WAV,False,MC-002_20240229_140000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_143000.WAV,MC-002,activityDetection,2024-02-29T14:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_143000.WAV,False,MC-002_20240229_143000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_150000.WAV,MC-002,activityDetection,2024-02-29T15:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_150000.WAV,False,MC-002_20240229_150000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_153000.WAV,MC-002,activityDetection,2024-02-29T15:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_153000.WAV,False,MC-002_20240229_153000.WAV,audio/WAV,48000,16,60.0,1,,
